GRAND_ID,DAM_HGT_M,AREA_SKM,DEPTH_M,DIS_AVG_LS,DOR_PC,ELEV_MASL,CATCH_SKM,GDP_capita,Population,run_mm_syr,inu_pc_umn,sgr_dk_sav,clz_cl_smj,ari_ix_sav,ari_ix_uav,glc_cl_smj,pnv_cl_smj,for_pc_use,crp_pc_use,pst_pc_use,ire_pc_use,gla_pc_use,prm_pc_use,pac_pc_use,fmh_cl_smj,swc_pc_uyr,lit_cl_smj,ero_kh_uav,pop_ct_usu,ppd_pk_uav,urb_pc_use,hft_ix_u09,hdi_ix_sav
1,59.0,4.12,32.3,2608,162.0,410,41,54225.44612000001,325084992,2098,86,328.0,5,303,308,12,8.0,62,0,0,0,0,0,100,5,100,3,944,0.0,0.0,0,26,948
2,11.0,98.11,2.7,11546,72.7,666,1174,44017.59091,36732000,309,1,227.0,7,63,63,4,8.0,34,0,0,0,0,69,0,11,63,5,433,0.102,0.034,0,0,902
4,64.0,4.14,28.0,7874,46.7,121,81,54225.44612000001,325084992,2591,72,390.0,5,477,392,4,6.0,27,0,0,0,0,0,21,5,100,5,387,0.033,0.017,0,60,948
9,42.0,0.94,32.8,7236,13.5,180,128,44017.59091,36732000,1690,86,911.0,5,269,301,14,6.0,60,0,0,0,0,0,0,5,95,13,1662,0.006999999999999999,0.17800000000000002,0,65,923
13,13.0,1.98,5.4,1976,17.0,137,28,44017.59091,36732000,2152,79,643.0,5,391,393,14,6.0,28,0,0,0,0,0,3,5,98,8,1541,0.0,0.0,0,94,923
18,23.0,25.36,15.4,33427,37.0,25,309,44017.59091,36732000,2971,73,761.0,5,490,261,4,6.0,79,0,0,0,0,1,8,5,91,9,1274,0.0,0.0,0,0,923
19,87.0,22.34,32.3,22052,103.6,698,983,44017.59091,36732000,400,4,517.0,7,78,92,4,6.0,73,1,1,0,1,3,14,5,72,5,1157,174.082,1.19,0,9,923
20,61.0,46.55,21.9,60692,53.4,649,3701,44017.59091,36732000,400,4,517.0,7,78,92,4,6.0,73,1,1,0,1,3,14,5,72,5,1157,174.082,1.19,0,9,923
21,14.0,24.94,6.0,30318,15.8,237,1876,44017.59091,36732000,400,4,517.0,7,78,92,4,6.0,73,1,1,0,1,3,14,5,72,5,1157,174.082,1.19,0,9,923
24,38.0,24.32,13.2,83357,12.2,208,1403,44017.59091,36732000,2046,2,560.0,5,319,319,4,6.0,70,0,0,0,0,0,55,5,93,2,4813,8.995,5.189,1,32,923
25,53.0,67.73,14.8,78208,40.7,222,1161,44017.59091,36732000,2046,2,560.0,5,319,319,4,6.0,70,0,0,0,0,0,55,5,93,2,4813,8.995,5.189,1,32,923
26,29.0,3.79,13.8,33087,5.0,366,722,44017.59091,36732000,1419,93,1023.0,6,172,151,4,6.0,0,8,4,15,0,0,10,5,81,9,218,90.844,923.202,30,377,923
27,17.0,124.19,13.0,51957,98.9,63,1253,44017.59091,36732000,1419,93,1023.0,6,172,151,4,6.0,0,8,4,15,0,0,10,5,81,9,218,90.844,923.202,30,377,923
28,64.0,24.12,23.0,11441,153.9,123,453,44017.59091,36732000,1419,93,1023.0,6,172,151,4,6.0,0,8,4,15,0,0,10,5,81,9,218,90.844,923.202,30,377,923
29,22.0,7.44,13.4,22189,14.3,51,385,44017.59091,36732000,1419,93,1023.0,6,172,151,4,6.0,0,8,4,15,0,0,10,5,81,9,218,90.844,923.202,30,377,923
30,11.0,21.11,4.9,21037,15.7,158,444,44017.59091,36732000,1487,80,355.0,10,224,198,4,4.0,50,0,0,0,0,0,0,5,86,5,307,26.199,693.431,37,252,925
31,30.0,6.44,12.0,20078,12.2,338,234,44017.59091,36732000,2357,6,440.0,5,306,305,4,6.0,76,0,0,1,0,0,17,5,91,2,2185,22.503,17.194000000000003,1,43,923
34,30.0,11.97,18.6,10293,68.6,178,185,44017.59091,36732000,1261,4,716.0,7,159,97,4,6.0,72,1,2,0,1,3,14,5,72,9,1222,1322.158,5.978,0,15,924
35,22.0,15.84,13.2,11328,58.7,136,206,44017.59091,36732000,1261,4,716.0,7,159,97,4,6.0,72,1,2,0,1,3,14,5,72,9,1222,1322.158,5.978,0,15,924
36,21.0,4.83,13.8,2612,80.9,633,62,44017.59091,36732000,1261,4,716.0,7,159,97,4,6.0,72,1,2,0,1,3,14,5,72,9,1222,1322.158,5.978,0,15,924
37,26.0,56.25,10.3,52645,34.9,87,942,44017.59091,36732000,1261,4,716.0,7,159,97,4,6.0,72,1,2,0,1,3,14,5,72,9,1222,1322.158,5.978,0,15,924
43,35.0,17.56,20.1,25088,44.5,215,552,54225.44612000001,325084992,1220,3,639.0,6,208,208,4,6.0,83,3,2,0,2,1,57,5,86,8,5755,81.602,10.259,1,31,945
47,80.0,5.72,33.0,9627,62.3,444,180,54225.44612000001,325084992,1535,4,427.0,10,269,270,4,4.0,89,1,1,0,0,0,19,5,89,2,2798,263.757,59.803000000000004,4,87,948
52,69.0,6.78,31.8,10046,68.1,496,214,54225.44612000001,325084992,1135,88,197.0,10,190,118,4,4.0,24,1,0,0,0,0,2,5,75,3,199,270.189,1326.225,84,361,948
65,76.0,7.38,29.8,170801,4.1,145,3574,54225.44612000001,325084992,1355,1,308.0,10,247,75,4,4.0,55,11,25,5,0,1,11,7,54,2,1700,7653.948,12.038,1,42,946
77,63.0,0.85,27.1,71109,1.0,202,1712,54225.44612000001,325084992,1191,3,246.0,10,176,176,4,4.0,69,17,8,6,0,0,7,7,78,2,1348,2367.308,82.552,5,87,928
79,30.0,5.47,15.6,4415,61.1,986,125,54225.44612000001,325084992,1191,3,246.0,10,176,176,4,4.0,69,17,8,6,0,0,7,7,78,2,1348,2367.308,82.552,5,87,928
184,75.0,2.12,31.4,1480,142.7,1762,92,54225.44612000001,325084992,376,7,194.0,12,70,70,4,9.0,61,14,24,13,0,0,8,5,52,1,1593,294.625,50.797,3,100,951
218,30.0,0.69,17.8,37749,1.0,125,2741,54225.44612000001,325084992,348,2,386.0,12,69,69,4,4.0,74,10,18,12,0,0,39,5,53,9,3374,47.184,13.104000000000001,1,58,951
250,243.0,419.13,59.6,571464,138.7,737,20976,44017.59091,36732000,1029,4,779.0,6,140,136,4,6.0,45,0,0,0,4,13,13,6,86,3,4534,31.592,0.993,0,14,923
263,24.0,5.91,27.1,3081,165.1,1670,338,44017.59091,36732000,201,1,113.0,8,71,72,4,10.0,42,26,16,5,0,7,27,6,61,3,2027,1317.21,55.706,3,80,930
264,29.0,8.47,7.4,1388,143.7,1698,143,44017.59091,36732000,201,1,113.0,8,71,72,4,10.0,42,26,16,5,0,7,27,6,61,3,2027,1317.21,55.706,3,80,930
265,13.0,21.68,7.4,23375,21.8,637,1115,44017.59091,36732000,533,4,578.0,7,100,100,4,6.0,76,1,4,1,0,1,5,5,75,8,779,51.211000000000006,4.865,0,28,923
273,12.0,17.63,6.5,8305,43.8,653,388,44017.59091,36732000,1029,4,779.0,6,140,136,4,6.0,45,0,0,0,4,13,13,6,86,3,4534,31.592,0.993,0,14,923
279,21.0,421.55,2.4,751282,4.3,531,46402,44017.59091,36732000,707,2,702.0,7,120,108,4,6.0,74,1,2,0,1,5,13,6,79,9,2255,115.037,2.6860000000000004,0,22,923
283,39.0,4.65,9.2,841423,0.2,456,50031,44017.59091,36732000,644,2,877.0,7,106,109,4,6.0,74,1,1,0,0,5,14,6,79,9,2244,122.134,2.661,0,22,923
290,104.0,0.86,136.3,817058,0.5,607,65465,54225.44612000001,325084992,493,2,379.0,7,95,72,4,4.0,78,4,11,2,0,0,15,6,61,3,1119,391.74800000000005,6.162999999999999,0,34,939
309,55.0,23.07,21.4,658332,2.4,679,56057,54225.44612000001,325084992,479,2,266.0,7,91,69,4,4.0,76,4,12,3,0,0,16,6,60,3,1180,374.228,6.537000000000001,0,34,881
315,18.0,125.54,2.2,165261,5.3,647,9853,54225.44612000001,325084992,425,2,165.0,8,81,81,4,4.0,80,14,8,1,0,0,1,6,65,3,846,645.7669999999999,37.953,3,71,905
352,12.0,13.55,3.8,46995,3.5,1466,5705,54225.44612000001,325084992,143,1,186.0,8,52,52,4,10.0,52,12,39,6,0,0,9,6,46,3,1089,273.953,4.367,0,38,879
363,67.0,4.48,16.1,806597,0.3,547,169172,54225.44612000001,325084992,316,1,272.0,8,54,40,4,10.0,34,10,53,9,0,0,7,7,38,2,1130,1290.6660000000002,7.486000000000001,0,48,903
364,27.0,48.12,13.5,24465,84.0,1994,2416,54225.44612000001,325084992,143,1,186.0,8,52,52,4,10.0,52,12,39,6,0,0,9,6,46,3,1089,273.953,4.367,0,38,879
397,39.0,12.45,19.3,20639,37.0,1456,4127,54225.44612000001,325084992,173,0,133.0,8,41,41,12,12.0,40,7,68,8,0,0,3,6,39,2,1652,33.510999999999996,4.044,0,61,884
418,31.0,1.36,10.4,24880,1.8,1478,11508,54225.44612000001,325084992,114,6,154.0,8,43,43,4,10.0,41,17,39,10,0,0,6,4,41,3,1135,229.75400000000002,11.024000000000001,1,67,904
544,81.0,4.0,59.5,1649,457.9,1998,121,54225.44612000001,325084992,299,3,176.0,12,54,48,4,9.0,51,25,22,26,0,0,21,5,39,1,3075,2516.067,55.052,3,80,951
593,96.0,3.92,38.7,1186,405.6,2484,106,54225.44612000001,325084992,159,2,234.0,12,40,40,4,9.0,44,30,19,34,0,0,22,5,35,1,4301,796.071,66.642,3,78,951
596,81.0,2.2,72.3,4780,105.5,1930,457,54225.44612000001,325084992,159,2,234.0,12,40,40,4,9.0,44,30,19,34,0,0,22,5,35,1,4301,796.071,66.642,3,78,951
684,36.0,0.62,31.3,30040,2.0,1223,36968,17336.46907,124777000,25,2,71.0,12,20,31,12,12.0,30,5,46,2,0,0,0,4,28,3,3486,353.536,9.504,0,55,756
718,24.0,164.38,0.7,943057,0.4,294,125240,44017.59091,36732000,108,31,13.0,8,76,92,4,8.0,61,2,1,0,0,0,12,1,81,9,48,135.075,1.209,0,16,900
719,24.0,214.45,9.1,463729,13.3,318,51787,44017.59091,36732000,310,34,16.0,7,101,101,4,4.0,65,0,0,0,0,0,5,1,86,9,32,28.482,0.723,0,11,926
775,17.0,31.66,6.9,24461,28.3,421,1368,54225.44612000001,325084992,660,5,23.0,7,98,98,2,8.0,92,1,0,0,0,0,1,1,87,2,57,8.98,5.461,0,38,951
778,6.0,10.74,4.8,4275,38.2,409,194,54225.44612000001,325084992,660,5,23.0,7,98,98,2,8.0,92,1,0,0,0,0,1,1,87,2,57,8.98,5.461,0,38,951
822,8.0,60.38,4.9,23727,39.4,477,1537,54225.44612000001,325084992,351,5,21.0,8,93,93,16,8.0,67,19,5,1,0,0,13,7,83,5,1029,325.358,14.539000000000001,1,69,945
846,28.0,7.12,8.2,53610,3.4,354,4660,54225.44612000001,325084992,351,5,21.0,8,93,93,16,8.0,67,19,5,1,0,0,13,7,83,5,1029,325.358,14.539000000000001,1,69,945
847,12.0,7.45,3.7,1157,75.4,343,142,54225.44612000001,325084992,303,4,24.0,8,86,86,2,8.0,76,17,4,0,0,0,7,7,78,3,851,389.23199999999997,21.736,1,88,948
850,5.0,11.63,3.6,5057,26.4,314,518,54225.44612000001,325084992,351,5,21.0,8,93,93,16,8.0,67,19,5,1,0,0,13,7,83,5,1029,325.358,14.539000000000001,1,69,945
865,11.0,4.0,8.0,39893,2.6,245,4421,54225.44612000001,325084992,351,5,21.0,8,93,93,16,8.0,67,19,5,1,0,0,13,7,83,5,1029,325.358,14.539000000000001,1,69,945
871,30.0,3.24,5.7,32702,1.8,265,3324,54225.44612000001,325084992,271,6,33.0,8,88,82,16,8.0,41,42,4,1,0,0,5,7,73,5,2461,5513.441999999999,33.863,2,91,947
876,20.0,1.96,22.0,20671,6.6,277,2186,54225.44612000001,325084992,271,6,33.0,8,88,82,16,8.0,41,42,4,1,0,0,5,7,73,5,2461,5513.441999999999,33.863,2,91,947
